last_price,volume,ticker,amount,vol_per_trade,exchange_percent,pe_ratio,liquid_asset,total_asset,pb_ratio
7.070000172,37979,600757,2648.703613,,1.084680438,19.63888931,24.75491905,73.50569153,2.628252745
7.420000076,10935,600758,810.5494995,,0.950456321,97.37532806,8.536725044,15.40998268,4.913907528
4.840000153,123243,600759,5923.833496,,1.013494849,74.46154022,58.85549164,59.05368805,2.962056398
5.699999809,32640,600760,1841.795776,,1.195648193,-17.8125,15.56099415,19.6615963,2.759355068
7.96999979,44407,600761,3498.365234,,0.86393261,10.48684216,40.96694565,40.96694565,1.430879593
22.11000061,5376,600763,1190.800781,,0.335329354,40.11248398,35.44675446,35.44675446,9.524835587
5.829999924,18959,600764,1093.335693,,0.575003028,121.4583282,19.22307777,19.22307777,3.369942188
8.329999924,35093,600765,2910.759033,,0.451066852,83.29999542,64.80766296,64.80766296,2.143040895
10.64999962,25042,600766,2687.393311,,1.140034556,27.66233826,23.39464188,23.88015366,626.47052
3.769999981,22809,600767,856.1795044,,0.669062197,-134.6428528,12.85231113,12.85608101,3.574476004
6.440000057,15611,600768,1001.272217,,1.167264819,-63.13725662,8.613319397,8.613319397,6.571428299
3.039999962,45286,600769,1361.505493,,1.20772326,-2.666666746,11.3993063,11.3993063,54.2857132
6.46999979,79006,600770,5079.062988,,0.730117381,24.88461494,70.01187134,71.46762085,1.359243631
7.960000038,0,600771,0,,0,-18.95238113,13.24309158,19.40714836,-2.671140909
12.47000027,34946,600773,4344.54834,,1.812645912,51.95833588,24.04182434,71.79040527,6.329949379
9.130000114,33889,600774,3030.854492,,1.960148096,228.2500153,15.78498459,15.93872547,3.13961482
5.480000019,13709,600775,757.1813965,,0.331928998,34.42211151,22.63322258,35.89482117,2.236734629
4.78000021,30979,600776,1474.714355,,0.324048132,44.09594345,45.69680023,60.0368042,2.381901741
4.929999828,114659,600777,5519.21875,,1.833663821,-49.29999924,30.82752037,30.83336258,2.508139849
11.59000015,42464,600778,4886.576172,,1.374995947,28.68811798,35.79415131,36.10184097,3.067760706
24.18000031,54337,600779,13075.48047,,1.839936376,25.72340393,71.40922546,118.1303253,6.624657631
6.699999809,0,600780,0,,0,19.4654274,58.48703766,76.8156662,2.318338871
14.43999958,14724,600781,2134.112793,,0.829100728,161.5212402,25.64439964,25.64439964,10.04731464
4.110000134,39809,600782,1634.95874,,0.285690695,-7.339285851,57.27000427,57.27000427,0.700170398
11.88000011,20180,600783,2390.357666,,0.498825848,54,48.06146622,88.42987061,3.125493288
5.179999828,0,600784,0,,0,25.3921566,25.72458839,25.72458839,3.038122892
15.63000011,15407,600785,2382.550293,,0.742756605,10.39228725,32.42149734,32.42149734,2.454151392
7.46999979,74727,600787,5557.211426,,1.609905839,14.26116753,34.67420578,62.75566864,1.441444874
4.269999981,38152,600789,1622.092651,,0.656017303,-17.79166794,24.83326912,24.83326912,1.558394194
6.119999886,38136,600790,2315.906738,,0.616319478,13.909091,37.86909485,37.86909485,2.539418936
3.849999905,17078,600791,656.9799805,,0.377572894,16.3412571,17.41407394,17.43587875,1.50390625
11.84000015,24108,600792,2833.372803,,1.909998417,-70.47618866,14.94503975,47.38664246,2.116931915
8.890000343,3309,600793,290.5768127,,0.314245015,644.2029419,9.361170769,9.361170769,-31.46902847
11.39999962,28236,600794,3198.211914,,1.31999445,18.38709641,24.38641167,24.38641167,4.285714149
2.420000076,264690,600795,6407.668457,,0.189679384,15.51282024,337.701355,372.5563354,1.390804648
5.539999962,48129,600796,2647.054443,,1.596848011,27.69999886,16.6976757,16.6976757,3.239765882
4.300000191,84629,600797,3604.269531,,1.029913187,71.66667175,35.33361435,36.20636368,1.902655005
3.140000105,0,600798,0,,0,-20.65789604,27.35487938,27.35487938,1.382164001
6.449999809,904717,600800,56863.84766,,14.88829422,-135.5041962,39.19501877,39.42697906,379.4117432
12.05000019,64883,600801,7734.700684,,1.353985786,60.25,57.74360275,112.7036362,1.538952827
6.349999905,58260,600802,3662.535645,,1.525650144,-12.54940701,24.24897385,24.24897385,2.220279694
9.300000191,29100,600803,2681.610107,,1.540660739,38.75,17.56624031,29.00041389,3.565950871
6.300000191,250221,600804,15750.9375,,1.869399548,35,84.32628632,84.32628632,2.310231209
9.109999657,134825,600805,12242.14063,,1.905222893,5.993421078,64.46858978,64.59706879,1.866803169
5.010000229,42847,600806,2119.692383,,1.09813416,368.3823547,19.54833031,26.60716438,1.904942989
7.989999771,265779,600807,20540.32227,,8.632551193,249.6874847,24.60021782,25.65998077,5.326666355
1.909999967,134630,600808,2553.584717,,0.225595906,-3.885272503,113.9840469,147.0830078,0.586969912
39.70999908,42501,600809,16816.98828,,0.490864366,21.84749031,343.8283081,343.8283081,11.21909809
6.070000172,30161,600810,1820.231201,,0.681943536,-9.863503456,26.8463974,26.8463974,1.089766622
5.070000172,76796,600811,3875.264404,,0.460739136,10.14811897,84.5070343,84.5070343,1.195219159
6.159999847,91591,600812,5584.736328,,0.890469313,-58.11320496,63.36037064,63.36037064,5.811320782
6.139999866,0,600814,0,,0,16.32978821,19.0575161,19.0575161,2.516393423
6.880000114,108498,600815,7437.688965,,1.391535163,9.052631378,53.64401627,54.96913147,1.378757596
14.64000034,47052,600816,6905.181641,,1.036753058,29.51613045,66.44359589,66.48165894,10.46162701
12.72999954,13205,600818,1675.694336,,0.610438228,318.25,27.53820992,37.20027924,10.02362156
5.769999981,11316,600819,650.3361206,,0.208110347,-96.16667175,31.37437439,42.19312668,2.083032608
8.100000381,61204,600820,4939.46582,,0.8343876,10.3846159,59.4152298,105.1914063,1.013868809
4.190000057,23050,600821,961.3162231,,0.553740442,209.5,17.44163704,17.44163704,3.067349911
5.360000134,21157,600822,1128.607422,,0.598331451,32.28915787,18.95299339,26.58414841,1.563593984
9.43999958,33496,600823,3129.931641,,0.286146313,9.254901886,110.5041885,110.5041885,0.917395473
4.699999809,33201,600824,1547.518433,,0.453590363,17.09090805,34.40226746,34.40226746,2.293801785
5.340000153,65456,600825,3468.118408,,0.626445115,43.06451797,55.79700851,55.79700851,2.197530985
12.22999954,15699,600826,1904.752197,,0.373217016,67.94444275,51.44453812,51.44453812,2.617722511
9.039999962,51198,600827,4595.680664,,0.412760615,9.617021561,112.1305923,155.7136078,1.331369638
5.03000021,56876,600828,2830.850342,,1.000334144,18.69888687,28.59916306,28.69311333,3.353333473
10.01000023,21101,600829,2103.791504,,0.363885641,12.9898777,58.04684067,58.04684067,2.866880655
6.690000057,59161,600830,3933.32959,,1.30218792,27.19512177,30.39418983,30.39418983,1.893039107
7.329999924,64221,600831,4660.066406,,1.139822125,26.36690712,41.3000412,41.3000412,2.747376204
5.25,107084,600832,5596.996094,,0.33607316,30.52325439,167.2825775,167.2825775,2.164056063
7.889999866,41310,600833,3243.812256,,1.851801991,47.99270248,17.60150909,17.60150909,3.781633377
6.579999924,28403,600834,1836.241943,,0.594976723,25.30769348,31.41172791,31.41172791,2.704591274
8.520000458,49557,600835,4196.975586,,0.614469945,7.888888836,68.71417236,87.13739014,1.410596132
6.809999943,14647,600836,992.7822876,,0.467119545,681,21.35366058,21.35366058,5.025830269
9.819999695,599918,600837,58641.35156,,0.74135983,21.3478241,794.6472778,941.2196045,1.644891143
5.059999943,30412,600838,1523.771729,,0.758630991,98.44358063,20.2846241,20.2846241,2.872714996
2,259547,600839,5171.080566,,0.563009918,31.34796333,92.1999588,92.32488251,0.689655125
10.93999958,5704,600841,621.9815063,,0.135393679,45.58333206,46.0896492,95.07871246,3.090395451
7.099999905,11150,600843,784.0935059,,0.544061661,55.38221741,14.55095291,31.87095451,4.544291019
11.31000042,43876,600844,4890.38623,,0.750247955,35.05889511,66.14393616,88.06199646,7.972649574
14.10000038,2835,600845,397.629303,,0.125160038,18.07692337,31.9389267,48.06932831,3.570524454
4.449999809,50266,600846,2214.983887,,0.804564953,37.08333206,27.8018856,27.8018856,2.099056721
13.73999977,2197,600847,300.7864075,,0.247800589,156.1363678,12.18188381,12.18188381,24.1986618
6.849999905,13476,600848,919.1677856,,0.461285681,339.1089172,20.0116787,27.35114479,15.5188036
26.15999985,7126,600850,1860.098389,,0.416652054,-160.8856049,44.74184036,84.16844177,16.75312233
5.820000172,57537,600851,3325.328857,,0.779422939,296.9387817,42.96359634,70.25069427,2.533739805
2.920000076,28507,600853,828.3203735,,0.531054378,120.6611633,15.67478275,15.67478275,2.051426172
4.119999886,82544,600854,3409.066895,,1.589065313,664.5161133,21.40168953,21.40168953,1.145749331
8.010000229,27570,600855,2192.962891,,1.182247043,76.28572083,18.67948151,26.56255531,3.452735186
4.039999962,20997,600856,841.6019287,,0.89413619,202,9.487192154,9.487192154,8.782608032
9.380000114,20867,600857,1957.758423,,0.930275083,55.83333588,21.04120636,21.04120636,4.1504426
10.64000034,32323,600858,3409.879883,,0.681689739,16.49612427,50.45150757,55.33507919,2.299794674
26.70000076,12985,600859,3447.204834,,0.310913712,16.08433723,111.5103912,123.5590591,2.145267487
5.579999924,51978,600860,2889.128174,,1.614223599,-34.875,17.96759987,23.54759979,3.244185925
6.230000019,19030,600861,1179.296143,,0.600694418,21.72245407,19.73694611,19.73694611,0.940888643
4.21999979,77183,600862,3237.826416,,1.274235606,70.33332825,25.561409,26.920578,2.071267128
6.920000076,37845,600863,2623.394775,,0.660551906,16.47619057,39.64711761,178.6204224,1.938375354
6.25,36014,600864,2249.157715,,0.659150422,18.939394,34.14863205,34.14863205,1.220464826
5.170000076,27928,600865,1437.376953,,0.742292166,22.87610626,19.45162392,19.45162392,1.891002297
4.570000172,42265,600866,1911.895142,,0.776173949,-23.26883888,24.88525963,25.1529789,1.527917147
9.329999924,56190,600867,5186.677734,,0.723902047,46.64999771,72.42062378,72.42062378,3.65882349
2.24000001,343172,600868,7659.755371,,1.807938337,560,42.51852798,42.51852798,1.985815525
8.43999958,12848,600869,1073.00415,,0.535333335,30.14285469,20.25599861,83.55964661,1.488536119
3.930000067,21899,600870,858.2659302,,0.590572,79.23387146,14.57317543,14.57317543,-1.675906181
6.349999905,11666,600871,736.2988281,,0.583299994,-58.79629517,12.69999981,254,2.920883179
4.300000191,57725,600872,2466.584717,,0.724614918,28.51458931,34.2553978,34.2553978,1.814346194
5.039999962,31930,600873,1606.510864,,0.198626474,25.19999886,81.02043915,136.4951172,2.519999981
4.659999847,25204,600874,1167.108765,,0.231820613,29.125,50.6648407,66.50884247,1.834645629
13.94999981,112058,600875,15449.75,,0.725797176,11.25,215.3782349,279.5384521,1.897959232
5.590000153,34249,600876,1892.092773,,1.369905233,-31.05555534,13.97601795,27.95101738,34.10616302
2.720000029,166361,600877,4532.955566,,2.42057085,-14.83097076,18.69407082,18.69407082,5.440000057
7.159999847,104524,600879,7441.206543,,1.288765073,42.11764526,58.07051468,58.07051468,1.73997581
9.850000381,0,600880,0,,0,18.24073982,40.78601456,61.85603333,2.888563156
